"1. I certify that I am 18 years of age or over, and that I wish to participate","2. Are you currently a trainee (student / research assistant / early career researcher in academia, industry or government/private institute)?",3. Are you interested or potentially interested in working at the intersection of neuroscience and AI (even if you have not done so yet)?,"4. What is your current career stage? ",5. Do you identify as:,6. What would you like to be doing professionally in 5-10 years’ time? (Please select each column only once),6.1. Research: academia,6.2. Research: industry / private institution,6.3. Research: Joint academic & industry appointments,"6.4. Not research, but still related to science",6.5. Not related to science,7. What is your prediction for what someone with your credentials and career stage will be doing professionally in 5-10 years’ time? (Please select each column only once),7.1. Research: academia,7.2. Research: industry / private institution,7.3. Research: Joint academic & industry appointments,"7.4. Not research, but still related to science",7.5. Not related to science,"8. How much is your neuro-AI work and development affected by each of these potential barriers? ",8.1. Access to funding,8.2. Access to computing resources,8.3. Access to data,8.4. Insufficient training to compete with AI / computer scientists,8.5. Insufficient training to compete with neuroscientists,9. Do you have any relevant industry (bio/tech company) experience? (Tick all that apply).,10. What is your highest academic degree?,11. Did you ever receive funding dedicated to NeuroAI? (Tick all that apply),"12. To confirm that you are human, please select option C ","13. How important is each of these in motivating you to work in the field of Neuro-AI? ",13.1. Academic career prospects,13.2. Industry career prospects,13.3. Potential to satisfy own curiosity,13.4. Potential for direct applications,14. Do you have experience with using or sharing open code or data? (Select all that apply),"15. What is your main source of training in computer science / artificial intelligence? ",16. What is your main source of training in neuroscience/ cognitive science?,17. What is the balance of AI and neuroscience in your work/interests?,18. What is the main direction of your interest in neuro-AI?,"19. If you had X hours per week to allocate to additional training, would you train more on: (please select each column only once) ",19.1. Neuro Discoveries (empirical results),19.2. Neuro Theory,19.3. Neuro Methods,19.4. AI Discoveries (empirical results),19.5. AI Theory,19.6. AI Methods,20. What is the main research focus of your current department/division/company/institute?,21. Would you prefer an environment where people work:,"22. For your neuroscience/cognitive science training, was it:"
"Yes, I am 18 years of age or over, and I wish to participate",Yes,Yes,Undergraduate,Male,,Second choice,Third choice,Top choice,Fourth choice,Fifth choice (least preferred),,Second most likely,Third most likely,Most likely,Fourth most likely,Least likely,,Somewhat affected,Somewhat affected,Somewhat affected,Very affected,Very affected,"Yes, employment ,Yes, internship, self-arranged (e.g., over summer) ,Yes, but NOT in a relevant sector ",Completed Undergraduate degree,"No, my funding is not dedicated to NeuroAI / I am not receiving funding",Option C,,Very important,Very important,The most important (only use for ONE),Very important,"Using open code,Using open data,Sharing open code",Full university degree(s),Online courses,Some neuro preference,"From AI to Neuro (i.e., use AI as a tool to learn about the brain)",,Fifth priority,Second priority,Fourth priority,Lowest priority,Top priority,Third priority,Neither,Combined (most people work on BOTH neuroscience and AI),Mostly focused on human brain/mind
"Yes, I am 18 years of age or over, and I wish to participate",Yes,Yes,PhD student,Male,,Top choice,Third choice,Second choice,Fourth choice,Fifth choice (least preferred),,Third most likely,Fourth most likely,Least likely,Most likely,Second most likely,,Not at all affected,Not at all affected,Not at all affected,Somewhat affected,Not at all affected,No experience in industry,Completed Undergraduate degree,"Yes, institutional,Yes, governmental ",Option C,,Very important,Somewhat important,Very important,The most important (only use for ONE),"Using open code,Using open data,Sharing open code,Sharing open data",Online courses,Full university degree,Primarily neuro,"From Neuro to AI (i.e., learn from the brain to build better artificial systems)",,Lowest priority,Second priority,Fifth priority,Fourth priority,Top priority,Third priority,Mostly neuroscience-focused (most people work on neuroscience/cognitive science),Combined (most people work on BOTH neuroscience and AI),Mostly focused on human brain/mind
"Yes, I am 18 years of age or over, and I wish to participate",Yes,Yes,Master’s student,Female,,Fourth choice,Second choice,Top choice,Third choice,Fifth choice (least preferred),,Most likely,Third most likely,Second most likely,Fourth most likely,Least likely,,Very affected,Somewhat affected,Somewhat affected,Not very affected,Somewhat affected,"Yes, internship/secondment/placement, as part of an academic degree ,Yes, internship, self-arranged (e.g., over summer) ,Yes, collaboration with industry/consulting role",Completed Master's degree,"No, my funding is not dedicated to NeuroAI / I am not receiving funding",Option C,,Very important,Very important,The most important (only use for ONE),Somewhat important,"Using open code,Sharing open code",Full university degree(s),Some university courses (but not an entire degree on it),Some AI preference,"From AI to Neuro (i.e., use AI as a tool to learn about the brain)",,Top priority,Second priority,Third priority,Fourth priority,Lowest priority,Fifth priority,Mostly AI-focused (most people work on AI/CS/ML),Combined (most people work on BOTH neuroscience and AI),Mostly focused on human brain/mind
"Yes, I am 18 years of age or over, and I wish to participate",Yes,Yes,Master’s student,Male,,Top choice,Third choice,Fourth choice,Second choice,Fifth choice (least preferred),,Second most likely,Most likely,Third most likely,Fourth most likely,Least likely,,Very affected,Very affected,Very affected,Somewhat affected,Not very affected,No experience in industry,Completed Undergraduate degree,"No, my funding is not dedicated to NeuroAI / I am not receiving funding",Option C,,Very important,Somewhat important,Very important,Somewhat important,"Using open code,Using open data,Sharing open code,Sharing open data",Self-taught,Self-taught,Some neuro preference,"From Neuro to AI (i.e., learn from the brain to build better artificial systems)",,Second priority,Top priority,Fifth priority,Fourth priority,Third priority,Lowest priority,Mostly neuroscience-focused (most people work on neuroscience/cognitive science),Combined (most people work on BOTH neuroscience and AI),Mostly focused on human brain/mind
"Yes, I am 18 years of age or over, and I wish to participate",Yes,Yes,Master’s student,Female,,Third choice,Second choice,Top choice,Fourth choice,Fifth choice (least preferred),,Most likely,Second most likely,Third most likely,Fourth most likely,Least likely,,Somewhat affected,Not very affected,Very affected,Very affected,Somewhat affected,"Yes, internship/secondment/placement, as part of an academic degree ",Completed Master's degree,"No, my funding is not dedicated to NeuroAI / I am not receiving funding",Option C,,Very important,The most important (only use for ONE),Very important,Very important,"Using open code,Using open data",Full university degree(s),Some university courses (but not an entire degree on it),Some AI preference,"From AI to Neuro (i.e., use AI as a tool to learn about the brain)",,Top priority,Lowest priority,Fourth priority,Second priority,Fifth priority,Third priority,Mostly AI-focused (most people work on AI/CS/ML),Combined (most people work on BOTH neuroscience and AI),Mostly focused on human brain/mind
"Yes, I am 18 years of age or over, and I wish to participate",Yes,Yes,Master’s student,Male,,Fifth choice (least preferred),Top choice,Third choice,Fourth choice,Second choice,,Least likely,Most likely,Third most likely,Second most likely,Fourth most likely,,Somewhat affected,Not very affected,Not very affected,Not at all affected,Somewhat affected,"Yes, internship, self-arranged (e.g., over summer) ",Completed Master's degree,"Yes, governmental ",Option C,,Somewhat important,Very important,Very important,Very important,Using open code,Full university degree(s),Online courses,Primarily AI,"From Neuro to AI (i.e., learn from the brain to build better artificial systems)",,Fifth priority,Top priority,Lowest priority,Third priority,Second priority,Fourth priority,Mostly AI-focused (most people work on AI/CS/ML),"Half-half (some people working primarily on AI, some people working primarily on neuro, in relative equal numbers)",Mostly focused on human brain/mind
"Yes, I am 18 years of age or over, and I wish to participate",Yes,Yes,Academic postdoc,Female,,Third choice,Fourth choice,Top choice,Second choice,,,Most likely,Fourth most likely,Second most likely,Third most likely,,,Very affected,,,Somewhat affected,Somewhat affected,"Yes, employment ","Completed PhD ","No, my funding is not dedicated to NeuroAI / I am not receiving funding",Option C,,The most important (only use for ONE),Somewhat important,The most important (only use for ONE),Somewhat important,"Using open code,Using open data,Sharing open code,Sharing open data",Some university courses (but not an entire degree on it),Some university courses (but not an entire degree on it),Primarily AI,"From AI to Neuro (i.e., use AI as a tool to learn about the brain)",,Second priority,Fourth priority,Fifth priority,Third priority,Top priority,Lowest priority,Both,"Half-half (some people working primarily on AI, some people working primarily on neuro, in relative equal numbers)",Mostly focused on human brain/mind
"Yes, I am 18 years of age or over, and I wish to participate",Yes,Yes,Research assistant,Female,,Third choice,Second choice,Top choice,Fourth choice,Fifth choice (least preferred),,Third most likely,Second most likely,Most likely,Fourth most likely,Least likely,,Somewhat affected,Very affected,Very affected,Not very affected,Somewhat affected,"Yes, employment ,Yes, internship/secondment/placement, as part of an academic degree ",Completed Undergraduate degree,"No, my funding is not dedicated to NeuroAI / I am not receiving funding",Option C,,Very important,Somewhat important,The most important (only use for ONE),Not very important,"Using open code,Using open data",Full university degree(s),Self-taught,Primarily AI,"From AI to Neuro (i.e., use AI as a tool to learn about the brain)",,Third priority,Top priority,Second priority,Fourth priority,Lowest priority,Fifth priority,Mostly AI-focused (most people work on AI/CS/ML),Mainly on AI/ compsci,Mostly focused on human brain/mind
"Yes, I am 18 years of age or over, and I wish to participate",Yes,Yes,Academic postdoc,Male,,Top choice,Third choice,Second choice,Fourth choice,Fifth choice (least preferred),,Third most likely,Fourth most likely,Least likely,Second most likely,Most likely,,Very affected,Somewhat affected,Somewhat affected,Very affected,Not at all affected,No experience in industry,Completed one or more postdoc position(s),"Yes, institutional,Yes, governmental ,Yes, from a charity",Option C,,Very important,Somewhat important,The most important (only use for ONE),Somewhat important,"Using open code,Using open data,Sharing open code",Self-taught,Full university degree,Primarily neuro,"From Neuro to AI (i.e., learn from the brain to build better artificial systems)",,Lowest priority,Fifth priority,Fourth priority,Third priority,Second priority,Top priority,Mostly neuroscience-focused (most people work on neuroscience/cognitive science),Combined (most people work on BOTH neuroscience and AI),Mostly focused on human brain/mind
"Yes, I am 18 years of age or over, and I wish to participate",Yes,Yes,Academic postdoc,Female,,Top choice,Third choice,Second choice,Fourth choice,Fifth choice (least preferred),,Most likely,Second most likely,Third most likely,Fourth most likely,Least likely,,Very affected,Somewhat affected,Very affected,Very affected,Not at all affected,No experience in industry,"Completed PhD ","No, my funding is not dedicated to NeuroAI / I am not receiving funding",Option C,,Somewhat important,Somewhat important,Very important,The most important (only use for ONE),"Using open code,Using open data,Sharing open code,Sharing open data",Self-taught,Full university degree,Primarily neuro,"From AI to Neuro (i.e., use AI as a tool to learn about the brain)",,Fifth priority,Lowest priority,Fourth priority,Second priority,Third priority,Top priority,Mostly neuroscience-focused (most people work on neuroscience/cognitive science),Combined (most people work on BOTH neuroscience and AI),Mostly focused on human brain/mind
